?version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	features	global_stock_type
宝贝名称	宝贝类目	店铺类目	新旧程度	省	城市	出售方式	宝贝价格	加价幅度	宝贝数量	有效期	运费承担	平邮	EMS	快递	发票	保修	放入仓库	橱窗推荐	开始时间	宝贝描述	宝贝属性	邮费模版ID	会员打折	修改时间	上传状态	图片状态	返点比例	新图片	视频	销售属性组合	用户输入ID串	用户输入名-值对	商家编码	销售属性别名	代充类型	数字ID	本地ID	宝贝分类	账户名称	宝贝状态	闪电发货	新品	食品专项	尺码库	库存类型
MXV Quad Core Android TV BOX S805 1GB/8GB Cortex 1.5 GHZ Android 4.4 KODI WIFI Bluetooth H.265 HEVC Media Player	32410246749		1	广东	深圳	1	44.75		9999	14	2	5	20	10	0	1	1	0		"<h1> <span style=""color: #0070c0;"">NEW ARRIVE</span></h1> <div style=""max-width: 650.0px;overflow: hidden;font-size: 0;clear: both;""><div style=""border: 1.0px solid #dedede;vertical-align: top;text-align: left;color: #666666;width: 120.0px;padding: 10.0px 15.0px;margin: 10.0px 10.0px 0 0;word-break: break-all;display: inline-block;""><a href="""" name=""productDetailUrl"" style=""display: table-cell;vertical-align: middle;width: 120.0px;height: 120.0px;text-align: center;cursor: pointer;""><img src=""http://www.eiigoo.com/union/shopimg/user_img/0/taobao/D50800EB46D46F981E9ABEECDD38314D.jpg"" style=""vertical-align: middle;max-width: 120.0px;max-height: 120.0px;border: 0 none;""></a><span style=""display: block;line-height: 14.0px;height: 28.0px;width: 100.0%;overflow: hidden;margin: 4.0px 0;font-size: 11.0px;""><a href="""" title=""New i68 Octa core Android 5.1 TV BOX RK3368 64bits 2G/8G bluetooth 4.0 2.4G wifi 4K Miracast/DLNA KODI smart tv HDMI 2.0"" style=""color: #666666;cursor: pointer;"" name=""productSubject"">New i68 Octa core Android 5.1 TV BOX RK3368 64bits 2G/8G bluetooth 4.0 2.4G wifi 4K Miracast/DLNA KODI smart tv HDMI 2.0</a></span><span style=""color: #999999;font-size: 12.0px;line-height: 1;""><em style=""color: #bd1a1d;font-style: normal;font-weight: 700;"">USD 94.70-106.20</em>/piece</span></div><div style=""border: 1.0px solid #dedede;vertical-align: top;text-align: left;color: #666666;width: 120.0px;padding: 10.0px 15.0px;margin: 10.0px 10.0px 0 0;word-break: break-all;display: inline-block;""><a href="""" name=""productDetailUrl"" style=""display: table-cell;vertical-align: middle;width: 120.0px;height: 120.0px;text-align: center;cursor: pointer;""><img src=""http://www.eiigoo.com/union/shopimg/user_img/0/taobao/BFDBA62CCCF43E7BE51DE3FC021554E7.jpg"" style=""vertical-align: middle;max-width: 120.0px;max-height: 120.0px;border: 0 none;""></a><span style=""display: block;line-height: 14.0px;height: 28.0px;width: 100.0%;overflow: hidden;margin: 4.0px 0;font-size: 11.0px;""><a href="""" title=""1pc MXIII-G MXIII Gigabit Ethernet  Amlogic S812 Android 5.1 TV BOX 1000M LAN Quad-core 2GB/8GB 2.4/5GHz Dual WiFi BT 4.0 H.265"" style=""color: #666666;cursor: pointer;"" name=""productSubject"">1pc MXIII-G MXIII Gigabit Ethernet  Amlogic S812 Android 5.1 TV BOX 1000M LAN Quad-core 2GB/8GB 2.4/5GHz Dual WiFi BT 4.0 H.265</a></span><span style=""color: #999999;font-size: 12.0px;line-height: 1;""><em style=""color: #bd1a1d;font-style: normal;font-weight: 700;"">USD 85.05</em>/piece</span></div><div style=""border: 1.0px solid #dedede;vertical-align: top;text-align: left;color: #666666;width: 120.0px;padding: 10.0px 15.0px;margin: 10.0px 10.0px 0 0;word-break: break-all;display: inline-block;""><a href="""" name=""productDetailUrl"" style=""display: table-cell;vertical-align: middle;width: 120.0px;height: 120.0px;text-align: center;cursor: pointer;""><img src=""http://www.eiigoo.com/union/shopimg/user_img/0/taobao/4B5365DEA41965DF5C8B10CC62F045C5.jpg"" style=""vertical-align: middle;max-width: 120.0px;max-height: 120.0px;border: 0 none;""></a><span style=""display: block;line-height: 14.0px;height: 28.0px;width: 100.0%;overflow: hidden;margin: 4.0px 0;font-size: 11.0px;""><a href="""" title=""Mini MX Android TV Box Quad Core Amlogic S9051 G RAM 8G ROM Smart TV Box KODI 14.2 2.4GHz WiFi H.265 HDMI2.0 Pre-installed"" style=""color: #666666;cursor: pointer;"" name=""productSubject"">Mini MX Android TV Box Quad Core Amlogic S9051 G RAM 8G ROM Smart TV Box KODI 14.2 2.4GHz WiFi H.265 HDMI2.0 Pre-installed</a></span><span style=""color: #999999;font-size: 12.0px;line-height: 1;""><em style=""color: #bd1a1d;font-style: normal;font-weight: 700;"">USD 59.99</em>/piece</span></div><div style=""border: 1.0px solid #dedede;vertical-align: top;text-align: left;color: #666666;width: 120.0px;padding: 10.0px 15.0px;margin: 10.0px 10.0px 0 0;word-break: break-all;display: inline-block;""><a href="""" name=""productDetailUrl"" style=""display: table-cell;vertical-align: middle;width: 120.0px;height: 120.0px;text-align: center;cursor: pointer;""><img src=""http://www.eiigoo.com/union/shopimg/user_img/0/taobao/745A4C273297941B96063B1D4192B1BD.jpg"" style=""vertical-align: middle;max-width: 120.0px;max-height: 120.0px;border: 0 none;""></a><span style=""display: block;line-height: 14.0px;height: 28.0px;width: 100.0%;overflow: hidden;margin: 4.0px 0;font-size: 11.0px;""><a href="""" title=""New Z4 android 5.1 Lollipop OS RK3368 Octa Core 64Bit TV Box Z4 Cortex A53 5.1 2GB RAM 16GB ROM BT 4.0 Dual wifi 2.4G 5.8G"" style=""color: #666666;cursor: pointer;"" name=""productSubject"">New Z4 android 5.1 Lollipop OS RK3368 Octa Core 64Bit TV Box Z4 Cortex A53 5.1 2GB RAM 16GB ROM BT 4.0 Dual wifi 2.4G 5.8G</a></span><span style=""color: #999999;font-size: 12.0px;line-height: 1;""><em style=""color: #bd1a1d;font-style: normal;font-weight: 700;"">USD 72.20-86.20</em>/piece</span></div><div style=""border: 1.0px solid #dedede;vertical-align: top;text-align: left;color: #666666;width: 120.0px;padding: 10.0px 15.0px;margin: 10.0px 10.0px 0 0;word-break: break-all;display: inline-block;""><a href="""" name=""productDetailUrl"" style=""display: table-cell;vertical-align: middle;width: 120.0px;height: 120.0px;text-align: center;cursor: pointer;""><img src=""http://www.eiigoo.com/union/shopimg/user_img/0/taobao/FF26DE1959D10A96C1B89F2735D471E0.jpg"" style=""vertical-align: middle;max-width: 120.0px;max-height: 120.0px;border: 0 none;""></a><span style=""display: block;line-height: 14.0px;height: 28.0px;width: 100.0%;overflow: hidden;margin: 4.0px 0;font-size: 11.0px;""><a href="""" title=""2016 New mxq pro 4K Tv Box Mxq/Mxv/Mxq Pro S905 Android 5.1.1 Tv Box 1G/8G full hd 1080p porn video android tv box media player"" style=""color: #666666;cursor: pointer;"" name=""productSubject"">2016 New mxq pro 4K Tv Box Mxq/Mxv/Mxq Pro S905 Android 5.1.1 Tv Box 1G/8G full hd 1080p porn video android tv box media player</a></span><span style=""color: #999999;font-size: 12.0px;line-height: 1;""><em style=""color: #bd1a1d;font-style: normal;font-weight: 700;"">USD 65.60</em>/piece</span></div><div style=""border: 1.0px solid #dedede;vertical-align: top;text-align: left;color: #666666;width: 120.0px;padding: 10.0px 15.0px;margin: 10.0px 10.0px 0 0;word-break: break-all;display: inline-block;""><a href="""" name=""productDetailUrl"" style=""display: table-cell;vertical-align: middle;width: 120.0px;height: 120.0px;text-align: center;cursor: pointer;""><img src=""http://www.eiigoo.com/union/shopimg/user_img/0/taobao/FBF8AB698611D96F288B92311888D98A.jpg"" style=""vertical-align: middle;max-width: 120.0px;max-height: 120.0px;border: 0 none;""></a><span style=""display: block;line-height: 14.0px;height: 28.0px;width: 100.0%;overflow: hidden;margin: 4.0px 0;font-size: 11.0px;""><a href="""" title=""K1 Plus Amlogic S905 OTT Android 5.1.1 TV Box Bluetooth 4K HD 1G/8G Quad Core STB Hybrid Media Player 2.4G WIFI HDMI 3D DLNA"" style=""color: #666666;cursor: pointer;"" name=""productSubject"">K1 Plus Amlogic S905 OTT Android 5.1.1 TV Box Bluetooth 4K HD 1G/8G Quad Core STB Hybrid Media Player 2.4G WIFI HDMI 3D DLNA</a></span><span style=""color: #999999;font-size: 12.0px;line-height: 1;""><em style=""color: #bd1a1d;font-style: normal;font-weight: 700;"">USD 44.60</em>/piece</span></div><div style=""border: 1.0px solid #dedede;vertical-align: top;text-align: left;color: #666666;width: 120.0px;padding: 10.0px 15.0px;margin: 10.0px 10.0px 0 0;word-break: break-all;display: inline-block;""><a href="""" name=""productDetailUrl"" style=""display: table-cell;vertical-align: middle;width: 120.0px;height: 120.0px;text-align: center;cursor: pointer;""><img src=""http://www.eiigoo.com/union/shopimg/user_img/0/taobao/9AD59160D8B519E83C83CA63E5AC7054.jpg"" style=""vertical-align: middle;max-width: 120.0px;max-height: 120.0px;border: 0 none;""></a><span style=""display: block;line-height: 14.0px;height: 28.0px;width: 100.0%;overflow: hidden;margin: 4.0px 0;font-size: 11.0px;""><a href="""" title=""1pc RK8 Android TV Box RK3368 DDR3 2G Nand Flash 8G HDMI 2.0 octa core android 5.1 WIFI Bluetooth KODI HDMI2.0 smart tv box"" style=""color: #666666;cursor: pointer;"" name=""productSubject"">1pc RK8 Android TV Box RK3368 DDR3 2G Nand Flash 8G HDMI 2.0 octa core android 5.1 WIFI Bluetooth KODI HDMI2.0 smart tv box</a></span><span style=""color: #999999;font-size: 12.0px;line-height: 1;""><em style=""color: #bd1a1d;font-style: normal;font-weight: 700;"">USD 62.60</em>/piece</span></div><div style=""border: 1.0px solid #dedede;vertical-align: top;text-align: left;color: #666666;width: 120.0px;padding: 10.0px 15.0px;margin: 10.0px 10.0px 0 0;word-break: break-all;display: inline-block;""><a href="""" name=""productDetailUrl"" style=""display: table-cell;vertical-align: middle;width: 120.0px;height: 120.0px;text-align: center;cursor: pointer;""><img src=""http://www.eiigoo.com/union/shopimg/user_img/0/taobao/2AB9BFC2E834F3C73F1BDD761603326B.jpg"" style=""vertical-align: middle;max-width: 120.0px;max-height: 120.0px;border: 0 none;""></a><span style=""display: block;line-height: 14.0px;height: 28.0px;width: 100.0%;overflow: hidden;margin: 4.0px 0;font-size: 11.0px;""><a href="""" title=""Android TV Box+DVB S2 K1 S805 Quad Core Wifi Xbmc Fully Loaded 1G/8G Satellite TV Receiver Support CCCam Newcamd Biss"" style=""color: #666666;cursor: pointer;"" name=""productSubject"">Android TV Box+DVB S2 K1 S805 Quad Core Wifi Xbmc Fully Loaded 1G/8G Satellite TV Receiver Support CCCam Newcamd Biss</a></span><span style=""color: #999999;font-size: 12.0px;line-height: 1;""><em style=""color: #bd1a1d;font-style: normal;font-weight: 700;"">USD 84.98</em>/piece</span></div></div> <p> &#xA0; </p> <p> <span style=""color: #ff0000;""><strong><span style=""font-size: 22.0px;"">MXV Quad Core Android TV BOX S805 1GB/8GB Cortex 1.5 GHZ Android 4.4.2 KODI WIFI Bluetooth H.265 HEVC Media Player</span></strong></span></p> <p> <strong><span style=""font-size: 26.0px;""><span style=""background-color: #ffff00;"">HighLight:</span></span></strong></p> <p> <span style=""font-size: 22.0px;"">1. Amlogic S805 Quad-Core Cortex A5 1.5GHz<br> 2. OS: Android 4.4.2 KitKat<br> 3. DDR3&#xA0;<span style=""color: #ff0000;""><strong>1GB </strong></span>RAM <strong>,<span style=""color: #ff0000;"">8GB</span> ROM</strong><br> 4. Support 2.4GHz Wifi<br> 5. Support&#xA0;<strong>H.265 HEVC</strong>&#xA0;Hardware decoding<br> 6. Support play 3D blu-ray and Blu-ray ISO format video and movies directly.<br> 7. <span style=""color: #ff0000;"">KODI</span> Pre-installed and play perfect</span></p> <p> <span style=""font-size: 22.0px;""><img alt=""34"" src=""http://www.eiigoo.com/union/shopimg/user_img/0/taobao/DD5E7C696ACCC06F58CDC8C911004AC4.jpg""><img alt=""19"" src=""http://www.eiigoo.com/union/shopimg/user_img/0/taobao/104E1E13FE1D09917877F086BF872A51.jpg""><img alt=""20"" src=""http://www.eiigoo.com/union/shopimg/user_img/0/taobao/E9C8228F3397BCDD9CD2971F5FC1B40B.jpg""><img alt=""21"" src=""http://www.eiigoo.com/union/shopimg/user_img/0/taobao/DC8E75EFF1EA13CC92C2AAAE0208D194.jpg""><img alt=""23"" src=""http://www.eiigoo.com/union/shopimg/user_img/0/taobao/2D60EA2113A81A1321E7C6E0D3F9D418.jpg""><img alt=""28"" src=""http://www.eiigoo.com/union/shopimg/user_img/0/taobao/78429877FBD4BCB321A926606FFE63E5.jpg""><img alt=""29"" src=""http://www.eiigoo.com/union/shopimg/user_img/0/taobao/991407CCD5DB3B332B425BEA454C969D.jpg""><img alt=""33"" src=""http://www.eiigoo.com/union/shopimg/user_img/0/taobao/B2E9CE3B1E17562F116A2160B8CB1C9B.jpg""></span></p> <p> <span style=""font-size: 22.0px;""><img alt=""37"" src=""http://www.eiigoo.com/union/shopimg/user_img/0/taobao/2D973E546BDBFEDEC60FDE11E38A7F5A.jpg""><img alt=""36"" src=""http://www.eiigoo.com/union/shopimg/user_img/0/taobao/E31C56719939AFC2CB655EAFA969B157.jpg""><img alt=""35"" src=""http://www.eiigoo.com/union/shopimg/user_img/0/taobao/C7A5C580F0952564EA8E5BD002965F5B.jpg""><img alt=""21"" src=""http://www.eiigoo.com/union/shopimg/user_img/0/taobao/AAC0B6251652E973B7622C23AB2CB5D0.jpg""><img alt=""38"" src=""http://www.eiigoo.com/union/shopimg/user_img/0/taobao/5DF70BA97813FD430FADDB1C763D3908.jpg""></span></p> <p> &#xA0; </p> <table border=""1"" cellpadding=""0"" cellspacing=""0"">  <tbody>   <tr>    <td colspan=""2"" style=""width: 645.0px;""> <p> <strong>Hardware Specifications</strong> </p> </td>   </tr>   <tr>    <td style=""width: 171.0px;""> <p> Chipset </p> </td>    <td style=""width: 474.0px;""> <p> Amlogic S805 Quad Core 4&#xA0;x&#xA0;Cortex A5 1.5GHz </p> </td>   </tr>   <tr>    <td style=""width: 171.0px;""> <p> GPU </p> </td>    <td style=""width: 474.0px;""> <p> Quad-Core 4&#xA0;x&#xA0;Mali-450 600MHz </p> </td>   </tr>   <tr>    <td style=""width: 171.0px;""> <p> FLASH </p> </td>    <td style=""width: 474.0px;""> <p> 8GB NAND FLASH </p> </td>   </tr>   <tr>    <td style=""width: 171.0px;""> <p> SDRAM </p> </td>    <td style=""width: 474.0px;""> <p> 1GB DDR3 </p> </td>   </tr>   <tr>    <td colspan=""2"" style=""width: 645.0px;""> <p> <strong>Power Supply Specifications</strong> </p> </td>   </tr>   <tr>    <td style=""width: 171.0px;""> <p> Power Supply </p> </td>    <td style=""width: 474.0px;""> <p> DC 5V/2A </p> </td>   </tr>   <tr>    <td style=""width: 171.0px;""> <p> Power Indicator (LED) </p> </td>    <td style=""width: 474.0px;""> <p> Power ON :blue; Standby :Red&#xA0; </p> </td>   </tr>   <tr>    <td colspan=""2"" style=""width: 645.0px;""> <p> <strong>Main Features</strong> </p> </td>   </tr>   <tr>    <td style=""width: 171.0px;""> <p> OS </p> </td>    <td style=""width: 474.0px;""> <p> Android 4.4 Kikat </p> </td>   </tr>   <tr>    <td style=""width: 171.0px;""> <p> 3D </p> </td>    <td style=""width: 474.0px;""> <p> 3D-HD&#xA0; </p> </td>   </tr>   <tr>    <td style=""width: 171.0px;""> <p> Decoder </p> </td>    <td style=""width: 474.0px;""> <p> 1080P HEVC/H.264&#xA0;H.265,HD AVC/VC-1,HD MPEG1/2/4,RM/RMVB,Xvid/DivX3/4/5/6 ,RealVideo8/9/10 </p> </td>   </tr>   <tr>    <td style=""width: 171.0px;""> <p> Media </p> </td>    <td style=""width: 474.0px;""> <p> Avi/Rm/Rmvb/Ts/Vob/Mkv/Mov/ISO/wmv/asf/flv/dat/mpg/mpeg </p> </td>   </tr>   <tr>    <td style=""width: 171.0px;""> <p> Music </p> </td>    <td style=""width: 474.0px;""> <p> MP3/WMA/AAC/WAV/OGG/AC3/DDP/TrueHD/DTS/DTS/HD/FLAC/APE </p> </td>   </tr>   <tr>    <td style=""width: 171.0px;""> <p> Photo </p> </td>    <td style=""width: 474.0px;""> <p> HD JPEG/BMP/GIF/PNG/TIFF </p> </td>   </tr>   <tr>    <td style=""width: 171.0px;""> <p> USB host </p> </td>    <td style=""width: 474.0px;""> <p> 4 High speed USB 2.0,support U DISK and USB HDD </p> </td>   </tr>   <tr>    <td style=""width: 171.0px;""> <p> Card reader </p> </td>    <td style=""width: 474.0px;""> <p> SD/SDHC/MMC cards </p> </td>   </tr>   <tr>    <td style=""width: 171.0px;""> <p> HDD file system </p> </td>    <td style=""width: 474.0px;""> <p> FAT16/FAT32/NTFS </p> </td>   </tr>   <tr>    <td style=""width: 171.0px;""> <p> Subtitles </p> </td>    <td style=""width: 474.0px;""> <p> SRT/SMI/SUB/SSA/IDX+USB </p> </td>   </tr>   <tr>    <td style=""width: 171.0px;""> <p> HD Video output </p> </td>    <td style=""width: 474.0px;""> <p> SD/HD max.1920x1080 pixel </p> </td>   </tr>   <tr>    <td style=""width: 171.0px;""> <p> Languages </p> </td>    <td style=""width: 474.0px;""> <p> English/French/German/Spanish/Italian/ etc multilateral languages </p> </td>   </tr>   <tr>    <td style=""width: 171.0px;""> <p> LAN </p> </td>    <td style=""width: 474.0px;""> <p> Ethernet:10/100M&#xA0;standard RJ-45 </p> </td>   </tr>   <tr>    <td style=""width: 171.0px;""> <p> Wireless </p> </td>    <td style=""width: 474.0px;""> <p> Built in WiFi </p> </td>   </tr>   <tr>    <td style=""width: 171.0px;""> <p> Mouse/ Keyboard </p> </td>    <td style=""width: 474.0px;""> <p> Support mouse and keyboard via USB;Support 2.4GHz wireless mouse and keyboard via 2.4GHz USB dongle </p> </td>   </tr>   <tr>    <td style=""width: 171.0px;""> <p> HDMI </p> </td>    <td style=""width: 474.0px;""> <p> HDMI 1.4b </p> </td>   </tr>   <tr>    <td style=""width: 171.0px;""> <p> AV </p> </td>    <td style=""width: 474.0px;""> <p> Support </p> </td>   </tr>   <tr>    <td style=""width: 171.0px;""> <p> Bluetooth </p> </td>    <td style=""width: 474.0px;""> <p> Support </p> </td>   </tr>   <tr>    <td colspan=""2"" style=""width: 645.0px;""> <p> <strong>Software Specifications</strong> </p> </td>   </tr>   <tr>    <td style=""width: 171.0px;""> <p> Network Function </p> </td>    <td style=""width: 474.0px;""> <p> Skype chatting,Picasa,Youtube,Flicker,Facebook,Online movies,etc </p> </td>   </tr>   <tr>    <td style=""width: 171.0px;""> <p> Other feature </p> </td>    <td style=""width: 474.0px;""> <p> Free Internet searching,thousands of android applications,many kinds of games,etc. </p> </td>   </tr>  </tbody> </table> <p> &#xA0; </p> <p> <strong><span style=""font-size: 22.0px;""><span style=""background-color: #ffff00;"">Package:</span></span></strong></p> <p> <strong>&#xA0; 1&#xA0;x&#xA0;MXV TV&#xA0;Box-1G/8G</strong></p> <p> <strong>&#xA0; 1&#xA0;x Remote control</strong></p> <p> <strong>&#xA0; 1&#xA0;x Power Supply&#xA0;</strong></p> <p> <strong>&#xA0; 1&#xA0;x HDMI Cable</strong></p> <p> <strong>&#xA0; 1&#xA0;x User Manual</strong></p> <p> &#xA0; </p> <div>  <span style=""color: #ffffff;"">android tv box &#xA0;tv box &#xA0;smart tv box &#xA0;dvb t2 &#xA0;dvb-t2 &#xA0;iptv &#xA0;tv box android android tv box quad core &#xA0;arabic iptv &#xA0;rk3288 &#xA0;arabic iptv box &#xA0;cs918 &#xA0;mxq mxv cs918s</span> </div> <div>  &#xA0; </div> <div>  <span style=""color: #ffffff;"">android tv box cs918 quad core dual core &#xA0;amlogic s805 &#xA0;rk3188t &#xA0;media player<span> </span></span> </div> <div>  <span style=""color: #ffffff;"">m8s &#xA0;mag 250 ,ag250 receptor satellite digital hd &#xA0;satellite receiver &#xA0;satlink &#xA0;openbox &#xA0;azamerican s1005 &#xA0;receptores iks sks &#xA0;satfinder &#xA0;digital satellite finder</span> </div>"		0	0				0	205AA86BCCAA99243268195ACFF41673:1:0:|;F6002C39A3DBC2415FABBF27D5672266:1:1:|;547FDBEAF2A8271BB38936F8A59AE9F9:1:2:|;90B27D32DE5C8263AEE24BB4C83FCCB1:1:3:|;549774FCBA621391204BF82636989E81:1:4:|;							0	0	0			2	0	0			
